clan;year;session;location;landmark_id;utme;utmn
talek;2005;t54500;o;Middle_SRL_X;752064;9836228
talek;2005;t54502;o;LB_X;744419;9838643
talek;2005;t54503;o;Fig_Tree_Lugga_-_Top;744152;9839835
talek;2005;t54504;o;FT_Lodge;743797;9841041
talek;2005;t54505;o;T_Stop;744981;9837898
talek;2005;t54506;o;Fig_Tree_Lugga_-_Top;744072;9839837
talek;2005;t54507;d;Kinda-See-Em_Den;745124;9840497
talek;2005;t54508;o;Maji_Fisi;745018;9838398
talek;2005;t54509;o;T_Stop;745728;9838102
talek;2005;t54510;o;FT_L_X;743333;9840697
talek;2005;t54511;o;Baboon_T;752228;9837050
talek;2005;t54512;o;Middle_SRL_X;752390;9836811
talek;2005;t54513;o;Leopard_Crossing;752229;9837166
talek;2005;t54514;d;Fever_Tree_Natal_Den/Communal_Den_Complex;753681;9837484
talek;2005;t54517;o;Maji_Fisi;744921;9838402
talek;2005;t54518;o;Fig_Tree_Lugga_-_Top;743855;9840366
talek;2005;t54521;o;Suicide_X;752836;9837325
talek;2005;t54522;k;Fisicamp;751441;9838097
talek;2005;t54523;o;Middle_SRL_X;752383;9836787
talek;2005;t54525;o;Paul's_T;751538;9837838
talek;2005;t54527;o;Border_Tree;744829;9838850
talek;2005;t54530;o;Baboon_T;752009;9836705
talek;2005;t54531;o;Suicide_X;751980;9837448
talek;2005;t54531.1;o;Suicide_X;751980;9837448
talek;2005;t54532;o;Middle_SRL_X;752511;9836789
talek;2005;t54533;o;Middle_SRL_X;752398;9836610
talek;2005;t54534;d;Fever_Tree_Natal_Den/Communal_Den_Complex;753681;9837484
talek;2005;t54536;o;Little_Bend_Crossing;744307;9838557
talek;2005;t54537;o;Talek_Lugga_-_Top;744433;9839366
talek;2005;t54538;o;Talek_Lugga_-_Top;743789;9840293
talek;2005;t54539;o;Fig_Tree_Lugga_-_Top;743925;9840296
talek;2005;t54540;o;Fig_Tree_Lugga_-_Top;743978;9840451
talek;2005;t54541;o;Talek_Lugga_-_Top;743868;9840056
talek;2005;t54542;o;Talek_Marsh;744015;9839774
talek;2005;t54543;o;Talek_Marsh;744163;9839819
talek;2005;t54545;o;Lucky_Tree;743742;9838480
talek;2005;t54546;m;LB_X;744337;9838356
talek;2005;t54548;o;Fig_Tree_Lugga_-_Top;744169;9840320
talek;2005;t54549;o;Coucal_X;746513;9838565
talek;2005;t54550;o;Suicide_X;751746;9837404
talek;2005;t54551;o;Suicide_X;751912;9837709
talek;2005;t54552;o;Boon_T;752078;9837213
talek;2005;t54553;o;CT_X;749240;9837400
talek;2005;t54554;o;Hi_Step_X;753122;9835422
talek;2005;t54556;o;Middle_SRL_X;752234;9836726
talek;2005;t54557;o;Middle_SRL_X;752464;9836934
talek;2005;t54564;k;SRP_T;743747;9836695
talek;2005;t54567;o;LB_X;744457;9838957
talek;2005;t54568;d;Kinda-See-Em_Den;745124;9840497
talek;2005;t54569;o;Kinda-See-Em_Den;744905;9840278
talek;2005;t54571;o;LB_X;743813;9837389
talek;2005;t54572;o;LB_X;743593;9837652
talek;2005;t54577;k;Hi_Step_X;753038;9835586
talek;2005;t54578;o;Hi_Step_X;753038;9835586
talek;2005;t54580;o;Rocky_Place;752687;9836115
talek;2005;t54581;o;LB_X;744307;9838507
talek;2005;t54582;o;BB_X;743277;9839226
talek;2005;t54583;o;BB_X;743277;9839226
talek;2005;t54584;o;BB_X;743277;9839226
talek;2005;t54585;d;Kinda-See-Em_Den;745124;9840497
talek;2005;t54586;o;Baboon_T;752174;9836874
talek;2005;t54587;o;Middle_Bend_Crossing;743935;9838978
talek;2005;t54588;o;BB_X;743495;9839180
talek;2005;t54589;o;BB_X;743202;9839117
talek;2005;t54590;o;BB_X;745387;9839408
talek;2005;t54591;d;Kinda-See-Em_Den;745124;9840497
talek;2005;t54592;o;Talek_Lugga_Crossing;745066;9840103
talek;2005;t54593;o;Hi_Step_X;753090;9835634
talek;2005;t54595;o;BB_X;743640;9839201
talek;2005;t54596;o;BB_X;743640;9839201
talek;2005;t54597;o;Big_Bend_Crossing;743702;9839140
talek;2005;t54598;o;Lucky_T;743367;9837953
talek;2005;t54599;o;Lucky_T;743192;9838425
talek;2005;t54600;o;BB_X;742977;9839014
talek;2005;t54601;o;BB_X;742770;9839175
talek;2005;t54604;d;Kinda-See-Em_Den;745124;9840497
talek;2005;t54605;o;Talek_Lugga_Crossing;744923;9840025
talek;2005;t54606;o;15_yr_X;746846;9838058
talek;2005;t54608;d;Kinda-See-Em_Den;745124;9840497
talek;2005;t54609;o;Fig_Tree_Lugga_-_Top;743663;9840048
talek;2005;t54610;o;BB_X;743298;9839357
talek;2005;t54611;o;BB_X;742943;9839431
talek;2005;t54612;o;BB_X;742825;9839310
talek;2005;t54613;o;BB_X;742621;9839549
talek;2005;t54614;o;FT_L_X;742764;9840437
talek;2005;t54615;o;Saga_L_X;745926;9838487
talek;2005;t54616;k;Fig_Tree_Lugga_-_Top;743571;9840249
talek;2005;t54617;o;BB_X;743306;9839294
talek;2005;t54618;o;BB_X;742659;9839187
talek;2005;t54619;k;Fig_Tree_Lugga_-_Top;743571;9840249
talek;2005;t54620;d;Kinda-See-Em_Den;745124;9840497
talek;2005;t54621;o;Hi_Step_X;753133;9835459
talek;2005;t54623;o;LB_X;744428;9838702
talek;2005;t54624;o;BB_X;743722;9839377
talek;2005;t54625;o;BB_X;743767;9839322
talek;2005;t54626;o;BB_X;743389;9839324
talek;2005;t54627;o;BB_X;743205;9839329
talek;2005;t54628;c;BB_X;743241;9839191
talek;2005;t54629;o;BB_X;743201;9839541
talek;2005;t54630;o;BB_X;743287;9839508
talek;2005;t54631;o;BB_X;742818;9839302
talek;2005;t54632;o;BB_X;742522;9839518
talek;2005;t54637;d;Kinda-See-Em_Den;745124;9840497
talek;2005;t54638;o;Maji_Fisi;745018;9838398
talek;2005;t54639;o;Hi_Step_X;753066;9835618
talek;2005;t54641;d;Sunrise_Valley_Communal_Den/Natal_Den;753524;9837427
talek;2005;t54642;o;BB_X;743431;9839170
talek;2005;t54643;o;BB_X;743430;9839219
talek;2005;t54644;o;BB_X;743430;9839219
talek;2005;t54645;o;BB_X;743452;9839036
talek;2005;t54647;o;LB_X;744259;9838529
talek;2005;t54648;o;LB_X;744349;9838443
talek;2005;t54649;o;Maji_Fisi;744976;9838303
talek;2005;t54650;o;Maji_Fisi;745018;9838398
talek;2005;t54651;o;Maji_Fisi;745018;9838398
talek;2005;t54652;o;Saga_L_X;746413;9838421
talek;2005;t54653;o;LB_X;744273;9838555
talek;2005;t54655;o;FT_L_X;743949;9840499
talek;2005;t54656;o;FT_L_X;743437;9840977
talek;2005;t54657;o;Little_Bend_Crossing;744307;9838557
talek;2005;t54658;o;FT_L_X;742678;9840785
talek;2005;t54659;o;FT_L_X;743311;9840641
talek;2005;t54660;o;Fig_Tree_Lugga_-_Top;743542;9840429
talek;2005;t54661;o;SRV_CD;753451;9837365
talek;2005;t54662;o;SRP_T;753224;9837259
talek;2005;t54663;o;Gomer's_Lugga;742474;9841351
talek;2005;t54664;k;Gomer's_L;742375;9841003
talek;2005;t54665;o;BB_X;743118;9839276
talek;2005;t54666;k;Lucky_T;742392;9838996
talek;2005;t54667;o;BB_X;743142;9839244
